City,State,Total Properties,FEMA Properties at Risk,Pct FEMA Properties at Risk,FSF Properties at Risk 2020,Pct FSF Properties at Risk 2020,FSF Properties at Risk 2035,Pct FSF Properties at Risk 2035,FSF Properties at Risk 2050,Pct FSF Properties at Risk 2050,Risk Change FSF Risk 20-50,Pct Risk Change FSF Risk 20-50,FSF-FEMA Risk Deviation 2020,city_id,lat,long
New York,ny,858287,29167,3.4,73490,8.6,80914,9.4,88338,10.3,14848,20.2,44323,3651000,40.66392081,-73.93835088
Buffalo,ny,93583,388,0.4,16398,17.5,16630,17.8,16862,18,464,2.8,16010,3611000,42.89225054,-78.85941475
Cheektowaga,ny,28571,246,0.9,4483,15.7,4540,15.9,4597,16.1,114,2.5,4237,3615000,42.90820723,-78.74962823
Syracuse,ny,41441,1049,2.5,4938,11.9,5074,12.2,5209,12.6,271,5.5,3889,3673000,43.04092202,-76.14376377
Tonawanda,ny,23125,47,0.2,3406,14.7,3531,15.3,3656,15.8,250,7.3,3359,3674183,42.98499299,-78.87797197
Rochester,ny,65006,124,0.2,3027,4.7,3108,4.8,3190,4.9,163,5.4,2903,3663000,43.16880016,-77.61593783
Binghamton,ny,15897,82,0.5,2879,18.1,2986,18.8,3094,19.5,215,7.5,2797,3606607,42.10137889,-75.90926512
Ithaca,ny,5424,153,2.8,2647,48.8,2656,49,2664,49.1,17,0.6,2494,3638077,42.44413261,-76.50317917
Hornell,ny,3694,16,0.4,2206,59.7,2228,60.3,2251,60.9,45,2,2190,3635672,42.32572385,-77.66043052
Yonkers,ny,34523,542,1.6,2640,7.6,2677,7.8,2714,7.9,74,2.8,2098,3684000,40.9466017,-73.86737618
Elmira,ny,9774,124,1.3,2201,22.5,2236,22.9,2270,23.2,69,3.1,2077,3624229,42.09379829,-76.80969532
Troy,ny,13290,1704,12.8,3778,28.4,3920,29.5,4063,30.6,285,7.5,2074,3675484,42.73545943,-73.67513394
Albany,ny,29520,541,1.8,2569,8.7,2624,8.9,2679,9.1,110,4.3,2028,3601000,42.66639697,-73.79868281
Niagara Falls,ny,22913,1067,4.7,3042,13.3,3228,14.1,3413,14.9,371,12.2,1975,3651055,43.09209236,-79.01473173
Schenectady,ny,20219,260,1.3,1984,9.8,2026,10,2068,10.2,84,4.2,1724,3665508,42.80252545,-73.9275598
Utica,ny,21184,242,1.1,1901,9,1942,9.2,1984,9.4,83,4.4,1659,3676540,43.09608145,-75.22610691
Port Jervis,ny,3083,390,12.7,1904,61.8,1914,62.1,1924,62.4,20,1.1,1514,3659388,41.3783505,-74.69100538
West Seneca,ny,18604,354,1.9,1780,9.6,1809,9.7,1838,9.9,58,3.3,1426,3680907,42.8374936,-78.75083562
Rome,ny,12585,222,1.8,1617,12.8,1650,13.1,1682,13.4,65,4,1395,3663418,43.22597627,-75.49089005
Lackawanna,ny,6683,791,11.8,2160,32.3,2182,32.7,2205,33,45,2.1,1369,3640189,42.81821918,-78.83251188
Amsterdam,ny,6946,76,1.1,1442,20.8,1466,21.1,1491,21.5,49,3.4,1366,3602066,42.94196087,-74.19060228
Centereach,ny,10135,0,0,1340,13.2,1411,13.9,1482,14.6,142,10.6,1340,3613376,40.86957222,-73.08079674
Southport,ny,3762,39,1,1321,35.1,1352,35.9,1382,36.7,61,4.6,1282,3669606,42.0639446,-76.81842369
Corning,ny,4190,34,0.8,1304,31.1,1306,31.2,1309,31.2,5,0.4,1270,3618256,42.14695747,-77.05612229
Johnson City,ny,5826,82,1.4,1347,23.1,1378,23.7,1410,24.2,63,4.7,1265,3638748,42.12299721,-75.9624348
Tonawanda,ny,6419,63,1,1288,20.1,1346,21,1404,21.9,116,9,1225,3674166,43.01051872,-78.88053711
Huntington Station,ny,9686,0,0,1184,12.2,1216,12.6,1248,12.9,64,5.4,1184,3637044,40.84462677,-73.40498369
Watertown,ny,10422,357,3.4,1532,14.7,1544,14.8,1557,14.9,25,1.6,1175,3678608,43.97342241,-75.90944387
Lynbrook,ny,5881,0,0,1142,19.4,1197,20.4,1252,21.3,110,9.6,1142,3643874,40.65788033,-73.67419579
New Rochelle,ny,14699,488,3.3,1565,10.6,1595,10.9,1625,11.1,60,3.8,1077,3650617,40.92308238,-73.77994947
Herkimer,ny,2743,27,1,1044,38.1,1054,38.4,1064,38.8,20,1.9,1017,3634121,43.02814479,-74.99279182
Cortland,ny,4919,724,14.7,1730,35.2,1748,35.5,1765,35.9,35,2,1006,3618388,42.60039281,-76.17840765
West Islip,ny,9316,555,6,1506,16.2,1634,17.5,1762,18.9,256,17,951,3680302,40.70970436,-73.2970821
North Tonawanda,ny,12772,114,0.9,1049,8.2,1218,9.5,1388,10.9,339,32.3,935,3653682,43.04572036,-78.86591348
Huntington,ny,7402,50,0.7,967,13.1,986,13.3,1006,13.6,39,4,917,3636233,40.8780984,-73.40752831
Dix Hills,ny,9033,0,0,891,9.9,908,10.1,924,10.2,33,3.7,891,3620687,40.80354169,-73.33704264
Canisteo,ny,969,21,2.2,908,93.7,908,93.7,909,93.8,1,0.1,887,3612254,42.27035402,-77.60565801
Coram,ny,11777,0,0,883,7.5,938,8,993,8.4,110,12.5,883,3618157,40.88124031,-73.00588461
Melville,ny,6793,0,0,882,13,916,13.5,950,14,68,7.7,882,3646514,40.78234068,-73.40879952
Commack,ny,12198,0,0,877,7.2,921,7.6,965,7.9,88,10,877,3617530,40.8442343,-73.28340294
Kingston,ny,8471,203,2.4,1059,12.5,1080,12.7,1102,13,43,4.1,856,3639727,41.92951317,-73.99679318
Irondequoit,ny,21000,266,1.3,1102,5.2,1116,5.3,1130,5.4,28,2.5,836,3637737,43.21038825,-77.57069535
