state_name,expect_loss_income_YES_PCT
Alaska,24.8
Alabama,37
Arkansas,30.9
Arizona,33
California,42.7
Colorado,31.7
Connecticut,31.8
NA,23.2
Delaware,23.7
Florida,41.1
Georgia,37.3
Hawaii,49.7
Iowa,26.5
Idaho,21.8
Illinois,24.1
Indiana,28.3
Kansas,28.2
Kentucky,29.1
Louisiana,41
Massachusetts,30.1
Maryland,30.9
Maine,29.4
Michigan,34.1
Minnesota,29.1
Missouri,30.6
Mississippi,38
Montana,29.7
North Carolina,31.4
North Dakota,25.3
Nebraska,27.8
New Hampshire,27.7
New Jersey,32.8
New Mexico,32.5
Nevada,46.9
New York,39.8
Ohio,29.9
Oklahoma,26.6
Oregon,33.4
Pennsylvania,31.4
Rhode Island,30.3
South Carolina,31.6
South Dakota,26.3
Tennessee,34.9
Texas,42.6
Utah,22.1
Virginia,26.6
Vermont,24.6
Washington,31.5
Wisconsin,27.1
West Virginia,30.8
Wyoming,34
